,source,target,align_count,word score
219,a,up,96,0.5172684552205289
245,abril,april,5,0.5371807868556647
261,abril,nineteenth,2,0.8833727328782637
262,abril,ninth,1,0.8294638148212963
273,acepta,do,1,0.9535050292471751
278,aceptan,do,3,0.8588162275161094
283,aceptaría,would,1,0.953491121475327
288,aceptarían,would,1,0.9331753123428306
300,acondicionado,conditioning,26,0.612357984071085
342,acuerdo,agree,1,0.9535050292471751
346,adiós,bye,2,1.0
375,aire,air,26,0.6143617933008434
455,al,the,31,0.6103649717248261
463,alguna,a,41,0.8028537344874839
509,amelia,amelia,1,0.8975502965499732
518,andrés,andrés,1,0.8133784526867186
534,anotados,extras,2,0.9435183632728431
543,apuntada,the,1,0.874977769607588
553,apuntados,expenses,2,0.6757365365828092
561,arnau,arnau,1,0.847529079242732
573,arturo,arturo,1,0.7920393781175148
592,aseo,bath,2,0.7981185976953756
611,asunción,asunción,1,0.7920393781175148
627,autobús,bus,10,0.829207468978808
649,baja,send,1,0.7794410051421338
657,bajar,down,10,0.5662550939825818
681,bajarme,down,1,0.8166418778753699
690,bajarnos,down,1,0.8697476656250828
728,baje,send,2,0.9165431843696545
777,bar,minibar,4,0.8383246607623313
790,barberá,barberá,1,0.8975502965499732
805,baño,bath,11,0.6271900383291374
861,berrueco,berrueco,1,0.7524310055538143
882,betoret,betoret,1,0.8244656070677022
895,bien,right,4,0.9010279250149151
898,bolsa,bag,6,0.5900416427339708
923,bolsas,bags,25,0.659241224634441
961,borillo,borillo,1,0.8358453827944569
973,borrás,borrás,1,0.9109447440879194
980,botella,botella,1,0.8975502965499732
1027,buenos,good,1,0.9840327014426661
1061,cabedo,cabedo,3,0.9270297880822485
1081,cabo,cabo,1,0.847529079242732
1090,caja,a,3,0.6484929490578767
1108,calatayud,calatayud,1,0.9109447440879194
1141,calleja,calleja,1,0.8358453827944569
1156,calor,room,4,0.8298777997323792
1160,calurosa,hot,3,0.9807073313517694
1228,cantero,cantero,1,0.7920393781175148
1242,cara,expensive,3,0.984506334326653
1249,carmelo,carmelo,1,0.8025731246479577
1265,carpio,carpio,1,0.8845257088991186
1285,catorce,fourteenth,3,0.8146550790693582
1321,celestino,celestino,1,0.871856423519564
1351,cero,oh,19,0.7762373206876911
1400,cinco,five,15,0.9561428365872605
1465,ciudad,town,2,0.8862171549333484
1470,coche,car,7,0.8501329887674007
1485,colomer,colomer,2,0.9092433880147486
1505,completa,full,4,0.6099243502858578
1635,con,with,81,0.8623004725783573
1638,conforme,okay,2,1.0
1641,cornelles,cornelles,2,0.9285153256167268
1680,crédito,cards,1,0.9535050292471751
1732,cuarto,quarter,42,0.5819687081977286
1781,cuatro,four,30,0.7902320388283488
1782,cuatro,fourth,2,0.9068792056492313
1846,cuatrocientos,four,6,0.6703319538061541
1868,cuenta,bill,75,0.6898933287218776
1922,cuesta,does,20,0.6618503051286992
1938,cuándo,when,1,1.0
1942,cuántas,many,2,1.0
1955,cuánto,how,35,0.7404198263434987
1971,cálida,room,1,0.8160638770320714
1975,cómo,pardon,1,1.0
1980,dar,give,27,0.6239131453633516
2006,darme,me,7,0.5052834774322371
2025,darnos,giving,8,0.5091926898669722
2088,de,changing,7,0.5245329920549137
2095,de,credit,1,0.9519439714531804
2286,de,traveler,1,0.9519440211918737
2384,demasiado,too,9,0.8384376172327104
2385,den,give,2,0.7674140911785622
2411,dennos,give,3,0.5118856537233789
2427,desayuno,breakfast,4,0.6315982218029603
2610,deseo,want,23,0.5344528522360865
2639,despertar,wake,24,0.5241071320989651
2657,despertara,wake,4,0.5857745474035893
2669,despertaran,to,4,0.714524378007109
2756,despierte,wake,1,0.8504917079192089
2775,despierten,wake,4,0.5470983553048692
2829,detalla,bill,1,0.6548561482986621
2840,detallar,explain,3,0.6082095748505317
2855,detallarnos,explain,1,0.607409935138375
2885,diecinueve,nine,6,0.5189780422766235
2919,dieciocho,eighteen,2,0.8912935615831641
2920,dieciocho,eighteenth,1,0.847529079242732
2952,diecisiete,seventeenth,1,0.8975502965499732
2984,dieciséis,sixteenth,2,0.891294967782174
3089,diez,ten,12,0.9000668488761866
3108,dinero,you,4,0.5688967394540396
3134,doble,double,73,0.7652545033662032
3213,dobles,double,6,0.7457224051834014
3267,doce,twelve,8,0.867276736812053
3291,domingo,sunday,2,0.8862171549333484
3314,dos,february,1,0.8631637452091296
3324,dos,july,1,0.6100023424328991
3372,dos,two,38,0.9193614145679833
3400,doscientos,two,5,0.7619981167010647
3429,ducha,shower,10,0.9234550255721308
3440,dulce,dulce,1,0.871856423519564
3509,día,day,14,0.8017318016603087
3579,días,days,9,0.8088759892433393
3617,díaz,díaz,1,0.871856423519564
3626,dónde,where,2,1.0
3642,echáramos,taking,1,0.8299706024969152
3649,efectivo,cash,5,0.9702796656008787
3721,el,on,37,0.6738871113638706
3781,emilio,emilio,2,0.9068792056492313
3826,en,in,79,0.7424936253257685
3829,en,it,5,0.5289186151362297
3893,enrique,enrique,2,0.9285153256167268
3913,equipaje,luggage,32,0.6620574011507154
3952,equivocación,mistake,16,0.8326240537736513
3986,error,error,11,0.7225399059251378
4009,es,is,19,0.8727959100438824
4029,espinosa,espinosa,1,0.7920393781175148
4070,esta,this,6,0.9484944238502214
4088,estación,station,4,0.9535617495575921
4094,estamos,date,1,0.9535050292471751
4099,estoy,do,1,0.9535050292471751
4107,está,is,22,0.9668855252634793
4114,están,are,13,0.7932763722261362
4147,explicar,explain,2,0.9506989386154048
4154,explique,explain,1,0.9534906790684401
4159,extras,bill,3,0.5184328763051061
4288,favor,llorens,1,0.7885907954393848
4289,favor,lobo,1,0.7644779277020649
4301,favor,morales,1,0.8656099260707765
4324,favor,please,296,0.6924002080558338
4407,febrero,second,1,0.8772109272590614
4414,federico,federico,2,0.9230112623478587
4427,fernández,fernández,2,0.9397202291327665
4441,firmar,sign,4,0.8975916298546647
4447,francisco,francisco,1,0.8975502965499732
4454,fría,cold,7,0.9871835676632669
4469,frío,room,1,0.8960820739535837
4483,fuerte,safe,2,0.5731875226989318
4491,gastos,bill,3,0.9717239116996886
4501,gerardo,gerardo,2,0.9230112623478587
4510,gonzález,gonzález,1,0.9389054778771398
4523,gregorio,gregorio,2,0.9175713239325202
4536,guijarro,guijarro,1,0.9109447440879194
4544,gumbau,gumbau,1,0.871856423519564
4587,gómez,gómez,1,0.7920393781175148
4607,ha,has,12,0.6133576577821859
4626,habitaciones,any,13,0.6161702387565828
4657,habitaciones,rooms,39,0.6382543408606919
4787,habitación,lot,2,0.64355583613532
4851,habitación,room,523,0.8443264259346736
5034,haría,would,3,0.5107880949248792
5085,hasta,until,23,0.7758903244166924
5134,hay,there,39,0.5601685347933678
5172,he,i,51,0.7241277130242687
5248,hecha,made,17,0.6421035142929807
5286,hecho,made,18,0.5725016226083308
5355,hemos,we,27,0.8017742453534825
5411,hoja,registration,8,0.7744359669652022
5418,hora,time,1,0.9685408818971794
5459,hoy,today,24,0.9187698243877177
5470,hágame,out,1,0.8797112184130488
5482,háganos,out,1,0.8238253990227499
5488,iborra,iborra,1,0.9389054778771398
5497,ibáñez,ibánez,1,0.8975502965499732
5503,importa,matter,2,0.9936310576639716
5525,importaría,mind,51,0.7120258921888021
5567,impuestos,included,6,0.7551740769903289
5573,incluida,phone,2,0.5263854121996867
5578,incluido,included,7,0.5475232959970304
5584,incluidos,all,6,0.8667106058448087
5599,incluyendo,including,4,0.9618758583152893
5672,individual,single,64,0.7304960486413836
5702,individuales,single,4,0.6583379132137316
5718,inmaculada,inmaculada,2,0.9109532123805284
5796,irme,leave,6,0.5207627522339104
5823,irnos,leave,7,0.5911658145605926
5844,iré,leave,1,0.8397450324908124
5858,isabel,isabel,1,0.8358453827944569
5872,jesús,jesús,3,0.9549086362505195
5884,jiménez,jiménez,1,0.7920393781175148
5927,juan,juan,1,0.9109447440879194
5960,jueves,thursday,6,0.8220498388377825
5969,julia,julia,2,0.9454233976461274
5981,julio,second,1,0.870227119431575
6163,la,the,416,0.6644185073551743
6207,las,at,100,0.5547562836035168
6356,le,would,34,0.6102283183095252
6390,les,would,17,0.609265841374257
6395,libre,available,29,0.6336060397384986
6418,libres,available,13,0.6959321154910446
6442,lidia,thirty,1,0.8595285990583458
6445,llama,call,3,0.5138149581608128
6454,llamar,call,9,0.5231832977016354
6472,llamarme,call,5,0.6202555771457929
6486,llamarnos,call,3,0.6552848910526914
6500,llame,call,1,0.9535022840309331
6523,llave,key,58,0.6026268796244643
6554,llaves,keys,24,0.6034141913707022
6710,lleve,send,7,0.7019494263752144
6731,lleven,send,4,0.9413515379432497
6745,llopis,llopis,1,0.8845257088991186
6788,lléveme,send,4,0.6140961579643508
6797,llévennos,send,1,0.9380179581854428
6805,llévenos,send,1,0.8369296202078415
6844,los,taxes,6,0.5115981870300746
6858,luis,luis,1,0.8845257088991186
6874,lunes,monday,4,0.9267165885149374
6896,maleta,suitcase,7,0.7754203129410167
6927,maletas,suitcases,11,0.7802284660661359
6942,manuela,manuela,1,0.8845257088991186
6961,mar,sea,3,0.5253760679974872
7088,marcharé,leave,2,0.8621544561738952
7099,marcho,leave,1,0.8834100581234666
7113,marina,marina,3,0.9203113441659777
7141,martes,tuesday,2,0.9121942989420367
7149,martínez,martínez,1,0.8845257088991186
7159,marzo,march,3,0.5337255635203172
7180,mayo,may,2,0.503298229284435
7231,mañana,morning,26,0.7745387356737072
7261,mañana,tomorrow,53,0.7602351319864782
7428,media,half,30,0.6109673844602692
7569,mi,my,80,0.8492717928977817
7614,micaela,micaela,1,0.8845257088991186
7624,miguel,miguel,1,0.8845257088991186
7636,mira,mira,1,0.7920393781175148
7653,miralles,miralles,2,0.9068792056492313
7674,mis,my,22,0.7398793844544417
7706,mismo,in,6,0.5053650700901301
7724,moliner,moliner,1,0.8975502965499732
7743,montaña,mountain,6,0.8072046494241972
7768,montero,montero,1,0.871856423519564
7807,muchas,thank,1,0.9840327014426661
7828,muy,very,8,0.9876077834005377
7848,navarro,navarro,1,0.9535050292471751
7855,no,no,1,1.0
7856,no,not,3,0.5633689418875216
7871,noche,evening,14,0.7916211497008488
7894,noche,night,7,0.7835208953422095
7934,noches,nights,4,0.9438896993828694
7986,nombre,for,100,0.8129996798715028
8243,noviembre,november,2,0.8474263547233937
8286,nuestra,our,41,0.8406366359975463
8325,nuestras,our,13,0.6447883768669472
8359,nuestro,our,20,0.8834645435346575
8388,nuestros,our,7,0.5802560785290053
8439,nueve,nine,37,0.8594728576424309
8504,número,number,33,0.6138086937135486
8538,ocho,eight,22,0.9266731987689633
8600,ochocientos,eight,1,0.8718481650113146
8617,octubre,october,1,0.8358453827944569
8631,once,eleven,9,0.9359002387503715
8632,once,eleventh,2,0.9068792056492313
8671,orenga,orenga,1,0.8975502965499732
8680,ortiz,ortiz,2,0.9511952783917665
8686,otra,another,5,0.8837442844316368
8722,paches,paches,2,0.9175713239325202
8733,padilla,padilla,1,0.8975502965499732
8754,paloma,paloma,2,0.9068792056492313
8786,para,for,86,0.7513958641022955
8876,parece,think,12,0.5596260309695766
8880,pasado,after,3,0.8486540131817505
8922,pedirme,ask,2,0.5598044798362173
8958,peinado,peinado,1,0.8975502965499732
8962,pensión,board,7,0.6104004554137091
8981,perdone,sorry,1,1.0
8990,peris,peris,1,0.8025731246479577
8999,pida,ask,4,0.6033241621925761
9011,pide,for,2,0.6221456066842059
9054,pilar,pilar,1,0.7920393781175148
9063,piquer,piquer,1,0.9389054778771398
9069,pitarch,pitarch,1,0.9535050292471751
9086,podría,could,68,0.5657208346101561
9177,podrían,could,39,0.5858557247783167
9446,precio,price,3,0.5044605895388747
9461,prepara,prepare,2,0.8754855479298282
9500,prepare,prepare,4,0.9884812317881257
9537,problema,problem,9,0.7855371052904971
9549,producido,been,7,0.7438815770560804
9588,produjo,was,9,0.7394139833648625
9598,próximo,next,6,0.773319201716864
9618,puede,can,27,0.6194496122512886
9669,pueden,can,37,0.6345525306754968
9714,puedo,can,1,0.9109446286278794
9726,puig,puig,1,0.871856423519564
9750,punto,oclock,18,0.8303256809865043
9782,pérez,pérez,1,0.8133784526867186
9881,que,that,31,0.6474115044845669
9915,quereda,quereda,1,0.871856423519564
9986,querría,would,10,0.5016338538480374
9993,querríamos,like,2,0.605044534395623
10019,querrían,would,7,0.6135142966410646
10040,quieren,will,2,0.9207960493470336
10090,quiero,want,24,0.5241500410328868
10104,quince,fifteen,1,0.8975502965499732
10105,quince,fifteenth,1,0.8358453827944569
10139,quinientos,five,5,0.6247942839749009
10235,quisiéramos,we,8,0.5076209440375915
10257,qué,what,5,0.7297355090742201
10264,rafael,rafael,1,0.8845257088991186
10274,ramos,ramos,1,0.8845257088991186
10286,ramírez,ramírez,2,0.9175713239325202
10299,recepción,reception,5,0.8264324789669537
10319,registro,form,8,0.7434439964204458
10329,rellenar,fill,4,0.6671089553102416
10339,repasar,check,3,0.5409549013365073
10348,repasarme,check,1,0.6020038869410164
10356,repase,check,1,0.9535050292471751
10412,reserva,reservation,64,0.755649284259304
10440,reservada,booked,29,0.5578380205966766
10503,reservado,booked,38,0.5562940795867223
10586,reservamos,we,14,0.5011680955781117
10591,reservar,book,37,0.8352165231630329
10638,reservé,booked,14,0.517138282262065
10680,ricardo,ricardo,2,0.8811963159084528
10694,rivera,rivera,1,0.9535050292471751
10702,roberto,roberto,2,0.9285153256167268
10714,roda,roda,1,0.8975502965499732
10733,rosario,rosario,3,0.9104123518053807
10747,rubio,rubio,1,0.9109447440879194
10764,ruido,room,6,0.6044737388085071
10776,ruidosa,noisy,1,0.9389054778771398
10794,ródenas,ródenas,1,0.847529079242732
10809,salsas,salsas,1,0.7920393781175148
10822,santos,santos,1,0.8358453827944569
10838,sanz,sanz,1,0.8133784526867186
10915,seis,six,29,0.8065682944480908
10953,seiscientos,six,5,0.7578377137111552
10986,semana,week,12,0.8627508673459952
10997,semanas,weeks,1,0.871856423519564
11002,septiembre,eighth,1,0.9027948892216136
11013,septiembre,september,6,0.5446598265929934
11019,septiembre,thirtieth,2,0.8943924214052104
11039,sergio,sergio,3,0.9477838356937949
11065,servicio,service,4,0.626273970881359
11099,setecientos,seven,7,0.6300194773294937
11126,setenta,seven,4,0.868616559284837
11152,señor,mr,16,0.8502275986034402
11199,señora,mrs,8,0.9163525713041332
11227,señorita,miss,2,0.8964305069061935
11281,siete,seven,18,0.7897186627850736
11312,silvia,silvia,1,0.871856423519564
11320,soler,soler,1,0.8845257088991186
11331,suba,send,7,0.5065661025092998
11363,sube,put,1,0.8845197735458517
11419,subirme,sending,2,0.5132228404694875
11452,susana,susana,1,0.8975502965499732
11465,sábado,saturday,4,0.9486838658429398
11480,sáez,sáez,1,0.8358453827944569
11486,sí,yes,1,1.0
11491,súbame,put,2,0.5451431650036467
11499,súbanme,send,1,0.853766317019569
11521,tarde,afternoon,15,0.9168490756390779
11588,taxi,taxi,55,0.5437758744443374
11621,tele,tv,6,0.532838601890653
11700,televisión,tv,46,0.7584372133284524
11785,teléfono,telephone,47,0.8903155134231376
11812,tena,tena,1,0.8845257088991186
11872,tenemos,we,28,0.7381276328355907
11879,tenenos,we,5,0.5044245407050933
11943,tengo,i,62,0.601155316544743
12023,teresa,teresa,2,0.9454233976461274
12083,todo,everything,5,0.693895346514172
12103,tomás,tomás,1,0.8845257088991186
12159,tranquila,quiet,62,0.6927926682341115
12206,tranquilas,quiet,9,0.5926789494941784
12245,trece,thirteenth,2,0.8862171549333484
12301,treinta,three,13,0.6656482831867704
12374,tres,third,1,0.8358443632269678
12375,tres,three,44,0.7241795705388689
12398,trescientos,three,6,0.9261475562379986
12404,un,an,11,0.7617867463532518
12464,una,a,514,0.8691874475702197
12706,uno,first,4,0.9074366327498422
12730,uno,one,38,0.6069913504553481
12830,vale,is,14,0.6199912849620647
12847,valls,valls,1,0.8845257088991186
12888,varela,varela,1,0.9389054778771398
12905,veinte,twentieth,1,0.8844033418349471
12906,veinte,twenty,1,0.8473905842261759
12922,veinticinco,twentyfifth,1,0.8975502965499732
12923,veinticinco,twentyfive,1,0.8975502965499732
12937,veintidós,two,2,0.6124955497076466
12969,veintinueve,twentynine,2,0.956991883727063
13008,veintiocho,twentyeighth,3,0.6858891377140334
13043,veintisiete,twentyseventh,3,0.8492877590522957
13084,veintiséis,twentysix,1,0.8244656070677022
13085,veintiséis,twentysixth,1,0.8475290777754946
13122,veintiuno,twentyfirst,1,0.8589601903206335
13139,velasco,velasco,1,0.871856423519564
13150,ver,see,21,0.6029869313788697
13162,viaje,checks,1,0.9535050292471751
13208,viciano,viciano,2,0.9121942989420367
13215,victoria,victoria,1,0.9389054778771398
13225,viernes,friday,7,0.9285710464495688
13265,vilanova,vilanova,2,0.8964305069061935
13281,virginia,virginia,2,0.9068792056492313
13360,vistas,view,9,0.5895070737340941
13367,vistazo,look,3,0.7083866455563604
13377,voy,am,13,0.5505711008245434
13416,vázquez,vázquez,1,0.9109447440879194
13435,y,and,57,0.7446144854091581
13536,y,past,47,0.69506175041742
13615,álvarez,álvarez,1,0.9247244080293139
13627,ángel,ángel,1,0.847529079242732
